ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre de la descarga 1,URL de la descarga 1
1626,variable,MTBJD07,Jersey MTB Mujer JD07,1,0,visible,"<h1><strong>Características 👇</strong></h1>
✅ Elaborados en telas deportivas.
✅ Con bolsillo de corredera al costado derecho.
✅ Sistema sport (transporte de humedad y absorción 💦).
✅ Impresión 100% en Plotter digital, por lo tanto no decolora ni destiñe.
<h3 style=""text-align: center;""><strong>Ahorra y aprovecha las promociones 👇</strong></h3>
<h4 style=""text-align: center;"">✔ 1 Jersey x $ 69.000</h4>
<h4 style=""text-align: center;""><strong>✔ 2 Jersey x $ 128.000</strong></h4>
<h4 style=""text-align: center;"">✔ 3 Jersey x $ 180.900</h4>
<p style=""text-align: center;""><strong>RECUERDA QUE PUEDES COMBINAR CUALQUIER DISEÑO Y TALLA </strong></p>

<h6 style=""text-align: center;"">ENVÍO GRATIS + PAGO CONTRA ENTREGA 🚚</h6>","<h3 style=""text-align: center;""><img class=""aligncenter wp-image-6039 size-full"" src=""https://variados.online/wp-content/uploads/2023/01/pago-cod-595x171-1.jpg"" alt="""" width=""595"" height=""171"" /></h3>
<p style=""text-align: center;""><img class=""aligncenter wp-image-4691 size-full"" src=""https://variados.online/wp-content/uploads/2023/01/envios-camisetas-595x158-1.png"" alt="""" width=""1000"" height=""266"" /></p>
&nbsp;
<h4><span style=""color: #008000;"">Prenda de excelente calidad.</span> Hecha por manos colombianas, somos fabricantes. <strong>Realiza tu pedido hoy con Envío gratis y paga en casa cuando recibas.</strong></h4>
Nuestros Jersey se fabrican bajo una tela deportiva, es un tejido de punto, cuentan con sistema de <strong>SportSec</strong> (transporte de humedad y absorción), la tela no se empapa de sudor (es transpirable) - Equivalente al <strong>Dryfit</strong>, los diseños son 100% sublimación plotter digital con tintas Epson, proporcionando calidad y nitidez a los colores además de manejar tintas neón en algunos diseños.
<h3 style=""text-align: center;""><strong>Ahorra y aprovecha las promociones 👇</strong></h3>
<h4 style=""text-align: center;"">✔ 1 Jersey x $ 69.000</h4>
<h4 style=""text-align: center;""><strong>✔ 2 Jersey x $ 128.000</strong></h4>
<h4 style=""text-align: center;"">✔ 3 Jersey x $ 180.900</h4>
<p style=""text-align: center;""><strong>RECUERDA QUE PUEDES COMBINAR CUALQUIER DISEÑO Y TALLA </strong></p>

<h6 style=""text-align: center;"">ENVÍO GRATIS + PAGO CONTRA ENTREGA 🚚</h6>
<h2 style=""text-align: center;""><strong>TABLA DE MEDIDAS POR TALLA 👇</strong></h2>
<p style=""text-align: center;""><img class=""aligncenter wp-image-5114 size-large"" src=""https://variados.online/wp-content/uploads/2023/01/Medidas_mujer.jpeg"" alt="""" width=""595"" height=""608"" /></p>
&nbsp;
<p style=""text-align: center;""><img class=""aligncenter wp-image-6038 size-full"" src=""https://variados.online/wp-content/uploads/2023/01/cambio-camisetas_optimized-595x372-1.jpg"" alt="""" width=""595"" height=""372"" /></p>
&nbsp;",,,taxable,,1,,,0,0,,,,,0,,,,MTB Mujer,mtbmujer,,"https://variados.online/wp-content/uploads/2023/01/JD07_Frente.jpg, https://variados.online/wp-content/uploads/2023/01/JD07_Espalda.jpg",,,,,,,,,0,TALLA:,"L, M, S",1,1,,
1637,variation,MTBJD07L,,1,0,visible,,,,,taxable,parent,1,10,,0,0,,,,,,,,69000,,,,,,,MTBJD07,,,,,,3,TALLA:,L,,1,,
1638,variation,MTBJD07M,,1,0,visible,,,,,taxable,parent,1,8,,0,0,,,,,,,,69000,,,,,,,MTBJD07,,,,,,2,TALLA:,M,,1,,
1639,variation,MTBJD07S,,1,0,visible,,,,,taxable,parent,1,10,,0,0,,,,,,,,69000,,,,,,,MTBJD07,,,,,,1,TALLA:,S,,1,,
1627,variable,MTBJD13,Jersey MTB Mujer JD13,1,0,visible,"<h1><strong>Características 👇</strong></h1>
✅ Elaborados en telas deportivas.
✅ Con bolsillo de corredera al costado derecho.
✅ Sistema sport (transporte de humedad y absorción 💦).
✅ Impresión 100% en Plotter digital, por lo tanto no decolora ni destiñe.
<h3 style=""text-align: center;""><strong>Ahorra y aprovecha las promociones 👇</strong></h3>
<h4 style=""text-align: center;"">✔ 1 Jersey x $ 69.000</h4>
<h4 style=""text-align: center;""><strong>✔ 2 Jersey x $ 128.000</strong></h4>
<h4 style=""text-align: center;"">✔ 3 Jersey x $ 180.900</h4>
<p style=""text-align: center;""><strong>RECUERDA QUE PUEDES COMBINAR CUALQUIER DISEÑO Y TALLA </strong></p>

<h6 style=""text-align: center;"">ENVÍO GRATIS + PAGO CONTRA ENTREGA 🚚</h6>","<h3 style=""text-align: center;""><img class=""aligncenter wp-image-6039 size-full"" src=""https://variados.online/wp-content/uploads/2023/01/pago-cod-595x171-1.jpg"" alt="""" width=""595"" height=""171"" /></h3>
<p style=""text-align: center;""><img class=""aligncenter wp-image-4691 size-full"" src=""https://variados.online/wp-content/uploads/2023/01/envios-camisetas-595x158-1.png"" alt="""" width=""1000"" height=""266"" /></p>
&nbsp;
<h4><span style=""color: #008000;"">Prenda de excelente calidad.</span> Hecha por manos colombianas, somos fabricantes. <strong>Realiza tu pedido hoy con Envío gratis y paga en casa cuando recibas.</strong></h4>
Nuestros Jersey se fabrican bajo una tela deportiva, es un tejido de punto, cuentan con sistema de <strong>SportSec</strong> (transporte de humedad y absorción), la tela no se empapa de sudor (es transpirable) - Equivalente al <strong>Dryfit</strong>, los diseños son 100% sublimación plotter digital con tintas Epson, proporcionando calidad y nitidez a los colores además de manejar tintas neón en algunos diseños.
<h3 style=""text-align: center;""><strong>Ahorra y aprovecha las promociones 👇</strong></h3>
<h4 style=""text-align: center;"">✔ 1 Jersey x $ 69.000</h4>
<h4 style=""text-align: center;""><strong>✔ 2 Jersey x $ 128.000</strong></h4>
<h4 style=""text-align: center;"">✔ 3 Jersey x $ 180.900</h4>
<p style=""text-align: center;""><strong>RECUERDA QUE PUEDES COMBINAR CUALQUIER DISEÑO Y TALLA </strong></p>

<h6 style=""text-align: center;"">ENVÍO GRATIS + PAGO CONTRA ENTREGA 🚚</h6>
<h2 style=""text-align: center;""><strong>TABLA DE MEDIDAS POR TALLA 👇</strong></h2>
<p style=""text-align: center;""><img class=""aligncenter wp-image-5114 size-large"" src=""https://variados.online/wp-content/uploads/2023/01/Medidas_mujer.jpeg"" alt="""" width=""595"" height=""608"" /></p>
&nbsp;
<p style=""text-align: center;""><img class=""aligncenter wp-image-6038 size-full"" src=""https://variados.online/wp-content/uploads/2023/01/cambio-camisetas_optimized-595x372-1.jpg"" alt="""" width=""595"" height=""372"" /></p>
&nbsp;",,,taxable,,1,,,0,0,,,,,0,,,,MTB Mujer,mtbmujer,,"https://variados.online/wp-content/uploads/2023/01/JD13_Frente.jpg, https://variados.online/wp-content/uploads/2023/01/JD13_Espalda.jpg",,,,,,,,,0,TALLA:,"L, M, S",1,1,,
1640,variation,MTBJD13L,,1,0,visible,,,,,taxable,parent,0,0,,0,0,,,,,,,,69000,,,,,,,MTBJD13,,,,,,3,TALLA:,L,,1,,
1641,variation,MTBJD13M,,1,0,visible,,,,,taxable,parent,0,0,,0,0,,,,,,,,69000,,,,,,,MTBJD13,,,,,,2,TALLA:,M,,1,,
1642,variation,MTBJD13S,,1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,,,,69000,,,,,,,MTBJD13,,,,,,1,TALLA:,S,,1,,
1628,variable,MTBJD14,Jersey MTB Mujer JD14,1,0,visible,"<h1><strong>Características 👇</strong></h1>
✅ Elaborados en telas deportivas.
✅ Con bolsillo de corredera al costado derecho.
✅ Sistema sport (transporte de humedad y absorción 💦).
✅ Impresión 100% en Plotter digital, por lo tanto no decolora ni destiñe.
<h3 style=""text-align: center;""><strong>Ahorra y aprovecha las promociones 👇</strong></h3>
<h4 style=""text-align: center;"">✔ 1 Jersey x $ 69.000</h4>
<h4 style=""text-align: center;""><strong>✔ 2 Jersey x $ 128.000</strong></h4>
<h4 style=""text-align: center;"">✔ 3 Jersey x $ 180.900</h4>
<p style=""text-align: center;""><strong>RECUERDA QUE PUEDES COMBINAR CUALQUIER DISEÑO Y TALLA </strong></p>

<h6 style=""text-align: center;"">ENVÍO GRATIS + PAGO CONTRA ENTREGA 🚚</h6>","<h3 style=""text-align: center;""><img class=""aligncenter wp-image-6039 size-full"" src=""https://variados.online/wp-content/uploads/2023/01/pago-cod-595x171-1.jpg"" alt="""" width=""595"" height=""171"" /></h3>
<p style=""text-align: center;""><img class=""aligncenter wp-image-4691 size-full"" src=""https://variados.online/wp-content/uploads/2023/01/envios-camisetas-595x158-1.png"" alt="""" width=""1000"" height=""266"" /></p>
&nbsp;
<h4><span style=""color: #008000;"">Prenda de excelente calidad.</span> Hecha por manos colombianas, somos fabricantes. <strong>Realiza tu pedido hoy con Envío gratis y paga en casa cuando recibas.</strong></h4>
Nuestros Jersey se fabrican bajo una tela deportiva, es un tejido de punto, cuentan con sistema de <strong>SportSec</strong> (transporte de humedad y absorción), la tela no se empapa de sudor (es transpirable) - Equivalente al <strong>Dryfit</strong>, los diseños son 100% sublimación plotter digital con tintas Epson, proporcionando calidad y nitidez a los colores además de manejar tintas neón en algunos diseños.
<h3 style=""text-align: center;""><strong>Ahorra y aprovecha las promociones 👇</strong></h3>
<h4 style=""text-align: center;"">✔ 1 Jersey x $ 69.000</h4>
<h4 style=""text-align: center;""><strong>✔ 2 Jersey x $ 128.000</strong></h4>
<h4 style=""text-align: center;"">✔ 3 Jersey x $ 180.900</h4>
<p style=""text-align: center;""><strong>RECUERDA QUE PUEDES COMBINAR CUALQUIER DISEÑO Y TALLA </strong></p>

<h6 style=""text-align: center;"">ENVÍO GRATIS + PAGO CONTRA ENTREGA 🚚</h6>
<h2 style=""text-align: center;""><strong>TABLA DE MEDIDAS POR TALLA 👇</strong></h2>
<p style=""text-align: center;""><img class=""aligncenter wp-image-5114 size-large"" src=""https://variados.online/wp-content/uploads/2023/01/Medidas_mujer.jpeg"" alt="""" width=""595"" height=""608"" /></p>
&nbsp;
<p style=""text-align: center;""><img class=""aligncenter wp-image-6038 size-full"" src=""https://variados.online/wp-content/uploads/2023/01/cambio-camisetas_optimized-595x372-1.jpg"" alt="""" width=""595"" height=""372"" /></p>
&nbsp;",,,taxable,,1,,,0,0,,,,,0,,,,MTB Mujer,mtbmujer,,"https://variados.online/wp-content/uploads/2023/01/JD14_Frente.jpg, https://variados.online/wp-content/uploads/2023/01/JD14_Espalda.jpg",,,,,,,,,0,TALLA:,"L, M, S",1,1,,
1643,variation,MTBJD14L,,1,0,visible,,,,,taxable,parent,1,7,,0,0,,,,,,,,69000,,,,,,,MTBJD14,,,,,,3,TALLA:,L,,1,,
